GSS_CODE,Count_,average_price,
E05000026,91,132.63, 
E05000027,26,91.12, 
E05000028,32,112.56,
E05000029,19,75.79, 
E05000030,30,114.77, 
E05000031,22,79.95, 
E05000032,69,111,
E05000033,13,48.31,
E05000034,33,106.67,
E05000035,27,68.26,
E05000036,18,79.28,
E05000037,16,105.69, 
E05000038,36,98.69, 
E05000039,50,142.58,
E05000040,24,114.04, 
E05000041,28,189.27,
E05000042,30,600,
E05000043,47,112.67, 
E05000044,53,105.92,
E05000045,329,209.78,
E05000046,279,170.22,
E05000047,85,112.62,
E05000048,38,101.63,
E05000049,114,93.38,
E05000050,61,100.55,
E05000051,79,127.41,
E05000052,100,179.13,
E05000053,196,150.98,
E05000054,68,108.54,
E05000055,155,151.88,
E05000056,47,137.83,
E05000057,114,205.52,
E05000058,60,122.46,
E05000059,63,536.89,
E05000060,43,112.16,
E05000061,81,151.58,
E05000062,168,110.86,
E05000063,68,136.38,
E05000064,20,90.85,
E05000065,47,88.64,
E05000066,7,80.43,
E05000067,7,93.86,
E05000068,16,72.62,
E05000069,22,78.41,
E05000070,13,92.77,
E05000071,19,77.95,
E05000072,8,549.25,
E05000073,16,83.56,
E05000074,20,66.8,
E05000075,58,76.09,
E05000076,14,86,
E05000077,37,116.73,
E05000078,13,127.54,
E05000079,52,134.76,
E05000080,7,93.57,
E05000081,19,180.6,
E05000082,18,82.72,
E05000083,21,97.86,
E05000084,61,87.79,
E05000085,41,86.15,
E05000086,97,185.62,
E05000087,270,144.78,
E05000088,97,116.49,
E05000089,153,121.07,
E05000090,42,122.33,
E05000091,106,105.46,
E05000092,231,135.86,
E05000093,12,72.5,
E05000094,332,149.3,
E05000095,208,103.26,
E05000096,43,112.02,
E05000097,53,85.43,
E05000098,346,180.97,
E05000099,41,150.75,
E05000100,65,114.75,
E05000101,39,102.21,
E05000102,275,603.27,
E05000103,49,86.98,
E05000104,66,107.02,
E05000105,175,84.08,
E05000106,23,136.09,
E05000107,9,111.78,
E05000108,25,123.12,
E05000109,76,108.72,
E05000110,23,93.91,
E05000111,21,130.76,
E05000112,51,74.18, 
E05000113,54,102.11,
E05000114,34,117.88, 
E05000115,19,64.58, 
E05000116,131,112.7, 
E05000117,14,120.5,
E05000118,10,93.6,
E05000119,15,91.67,
E05000120,26,113.81, 
E05000121,28,107.96,
E05000122,29,119.14,
E05000123,100,101.54,
E05000124,11,106.55,
E05000125,44,94.84,
E05000126,18,122.61,
E05000127,11,94.91,
E05000128,211,172.82,
E05000129,550,222.29,
E05000130,476,301.13,
E05000131,314,154.77,
E05000132,173,161.8,
E05000133,189,264.85,
E05000134,123,168.8,
E05000135,167,228.68,
E05000136,261,145.07, 
E05000137,136,154.86,
E05000138,786,269.97,
E05000139,230,193.98, 
E05000140,228,149.3,
E05000141,546,158.53,
E05000142,460,240.49,
E05000143,423,149.73, 
E05000144,241,190.62, 
E05000145,243,139.48, 
E05000146,108,97.94, 
E05000147,24,94.62, 
E05000148,69,70.99,
E05000149,95,71.24, 
E05000150,13,70.54,
E05000151,34,108.06,
E05000152,63,87.9,
E05000153,283,127.4,
E05000154,12,86.42,
E05000155,15,83.86, 
E05000156,11,104.55,
E05000157,6,41.67,
E05000158,71,88.28,
E05000159,43,101.81, 
E05000160,10,53.2,
E05000161,92,69.25, 
E05000162,28,80.07,
E05000163,11,78.18,
E05000164,115,92.84, 
E05000165,98,104.54, 
E05000166,95,95.26,
E05000167,76,86.2,
E05000168,57,92.39, 
E05000169,77,139.85,
E05000170,215,114.13,
E05000171,84,112.82,
E05000172,37,75.49,
E05000173,139,125.24, 
E05000174,150,131.19, 
E05000175,372,150.71, 
E05000176,100,110.85, 
E05000177,28,94.75,
E05000178,44,104.82,
